movement,block,trial
power,0,0
power,0,1
power,0,2
power,0,3
power,0,4
power,0,5
power,0,6
power,0,7
power,0,8
power,0,9
lateral,1,0
lateral,1,1
lateral,1,2
lateral,1,3
lateral,1,4
lateral,1,5
lateral,1,6
lateral,1,7
lateral,1,8
lateral,1,9
tripod,2,0
tripod,2,1
tripod,2,2
tripod,2,3
tripod,2,4
tripod,2,5
tripod,2,6
tripod,2,7
tripod,2,8
tripod,2,9
pointer,3,0
pointer,3,1
pointer,3,2
pointer,3,3
pointer,3,4
pointer,3,5
pointer,3,6
pointer,3,7
pointer,3,8
pointer,3,9
open,4,0
open,4,1
open,4,2
open,4,3
open,4,4
open,4,5
open,4,6
open,4,7
open,4,8
open,4,9
rest,5,0
rest,5,1
rest,5,2
rest,5,3
rest,5,4
rest,5,5
rest,5,6
rest,5,7
rest,5,8
rest,5,9
